DATE,PAIR,TREATMENT,GROUP,OBSERVER 1,OBSERVER 2,SPECIES,FUNCTIONAL,SEX,COUNT
5/25/21,9,CONTROL,ML,Mason,Lashley,American Crow,Frugivore,U,1
5/18/21,1,BURN,BS,Bowden,Szlabowicz,American Robin,Frugivore,U,1
5/18/21,1,CONTROL,WR,Wilkin,Ribas,American Robin,Frugivore,U,2
5/19/21,1,BURN,BW,Balmaceda,Walford,American Robin,Frugivore,F,1
5/19/21,1,BURN,BW,Balmaceda,Walford,American Robin,Frugivore,M,2
5/19/21,1,CONTROL,PT,Tolar,Pinkley,American Robin,Frugivore,U,1
5/21/21,1,CONTROL,BW,Balmaceda,Walford,American Robin,Frugivore,U,4
5/22/21,5,BURN,BW,Balmaceda,Walford,American Robin,Frugivore,U,1
5/26/21,9,BURN,BW,NONE,Walford,American Robin,Frugivore,F,1
5/26/21,9,BURN,BW,NONE,Walford,American Robin,Frugivore,M,1
5/28/21,7,CONTROL,BW,Balmaceda,Walford,American Robin,Frugivore,F,1
5/28/21,7,CONTROL,BW,Balmaceda,Walford,American Robin,Frugivore,M,1
5/18/21,2,BURN,CM,Cantarero,Marcelletti,Blue Jay,Frugivore,U,2
5/18/21,3,BURN,PT,Tolar,Pinkley,Blue Jay,Frugivore,U,2
5/18/21,3,CONTROL,ML,Mason,Lashley,Blue Jay,Frugivore,U,1
5/19/21,1,BURN,BW,Balmaceda,Walford,Blue Jay,Frugivore,U,3
5/19/21,1,CONTROL,PT,Tolar,Pinkley,Blue Jay,Frugivore,U,2
5/19/21,2,BURN,WR,Wilkin,Ribas,Blue Jay,Frugivore,U,4
5/19/21,2,CONTROL,BS,Bowden,Szlabowicz,Blue Jay,Frugivore,U,1
5/19/21,3,BURN,ML,Mason,Lashley,Blue Jay,Frugivore,U,3
5/19/21,3,CONTROL,CM,Cantarero,Marcelletti,Blue Jay,Frugivore,U,2
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Blue Jay,Frugivore,F,1
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Blue Jay,Frugivore,U,1
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Blue Jay,Frugivore,U,1
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Blue Jay,Frugivore,U,2
5/23/21,4,BURN,PT,Pinkley,Tolar,Blue Jay,Frugivore,M,3
5/23/21,5,CONTROL,BS,Bowden,Szlabowicz,Blue Jay,Frugivore,U,1
5/24/21,4,BURN,WR,Wilkin,Ribas,Blue Jay,Frugivore,U ,1
5/24/21,4,CONTROL,PT,Pinkley,NONE,Blue Jay,Frugivore,U,1
5/24/21,5,BURN,BS,Bowden,NONE,Blue Jay,Frugivore,U,1
5/24/21,5,CONTROL,CM,Cantarero,Marcelletti,Blue Jay,Frugivore,M,1
5/24/21,6,BURN,BW,Balmaceda,NONE,Blue Jay,Frugivore,M,1
5/25/21,7,BURN,CM,Cantarero,Marcelletti,Blue Jay,Frugivore,U,7
5/25/21,7,CONTROL,BS,Bowden,Szlabowicz,Blue Jay,Frugivore,U,7
5/25/21,8,BURN,PT,Tolar,Pinkley,Blue Jay,Frugivore,U ,3
5/25/21,9,BURN,WR,Wilkin,Ribas,Blue Jay,Frugivore,U,3
5/25/21,9,CONTROL,ML,Mason,Lashley,Blue Jay,Frugivore,U,2
5/26/21,7,BURN,ML,Mason,Lashley,Blue Jay,Frugivore,U,2
5/26/21,8,CONTROL,WR,Wilkin,Ribas,Blue Jay,Frugivore,U,1
5/26/21,9,BURN,BW,NONE,Walford,Blue Jay,Frugivore,U,5
5/28/21,7,BURN,WR,Wilkin,Ribas,Blue Jay,Frugivore,U,1
5/28/21,8,BURN,CM,Marcelletti,Cantarero,Blue Jay,Frugivore,U,3
5/28/21,9,BURN,PT,Tolar,Pinkley,Blue Jay,Frugivore,U ,2
5/21/21,2,BURN,PT,Pinkley,Tolar,Boat Tailed Grackle,Frugivore,U ,1
5/18/21,2,BURN,CM,Cantarero,Marcelletti,Brewers Blackbird,Frugivore,U,1
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Brown Thrasher,Frugivore,F,1
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Brown Thrasher,Frugivore,M,1
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Brown Thrasher,Frugivore,U,1
5/19/21,1,CONTROL,PT,Tolar,Pinkley,Brown Thrasher,Frugivore,U,2
5/19/21,2,BURN,WR,Wilkin,Ribas,Brown Thrasher,Frugivore,U,2
5/21/21,2,BURN,PT,Pinkley,Tolar,Brown Thrasher,Frugivore,U ,1
5/23/21,4,BURN,PT,Pinkley,Tolar,Brown Thrasher,Frugivore,U ,1
5/23/21,5,CONTROL,BS,Bowden,Szlabowicz,Brown Thrasher,Frugivore,U,1
5/24/21,4,CONTROL,PT,Pinkley,NONE,Brown Thrasher,Frugivore,U,1
5/25/21,7,BURN,CM,Cantarero,Marcelletti,Brown Thrasher,Frugivore,U,3
5/26/21,7,BURN,ML,Mason,Lashley,Brown Thrasher,Frugivore,U,1
5/28/21,8,BURN,CM,Marcelletti,Cantarero,Brown Thrasher,Frugivore,U,1
5/19/21,2,BURN,WR,Wilkin,Ribas,Brown-Headed Cowbird,Frugivore,U ,1
5/19/21,3,CONTROL,CM,Cantarero,Marcelletti,Brown-Headed Cowbird,Frugivore,U,1
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Brown-Headed Cowbird,Frugivore,U,1
5/21/21,2,BURN,PT,Pinkley,Tolar,Brown-Headed Cowbird,Frugivore,U ,1
5/22/21,5,BURN,BW,Balmaceda,Walford,Brown-Headed Cowbird,Frugivore,U,5
5/22/21,6,BURN,WR,Wilkin,Ribas,Brown-Headed Cowbird,Frugivore,U ,6
5/23/21,4,CONTROL,WR,Wilkin,Ribas,Brown-Headed Cowbird,Frugivore,U ,8
5/23/21,5,BURN,CM,Cantarero,Marcelletti,Brown-Headed Cowbird,Frugivore,U,1
5/23/21,6,CONTROL,BW,Balmaceda,Walford,Brown-Headed Cowbird,Frugivore,U,9
5/24/21,6,CONTROL,ML,Mason,Lashley,Brown-Headed Cowbird,Frugivore,U,11
5/25/21,7,BURN,CM,Cantarero,Marcelletti,Brown-Headed Cowbird,Frugivore,U,1
5/25/21,9,CONTROL,ML,Mason,Lashley,Brown-Headed Cowbird,Frugivore,F,2
5/25/21,9,CONTROL,ML,Mason,Lashley,Brown-Headed Cowbird,Frugivore,U,1
5/28/21,8,BURN,CM,Marcelletti,Cantarero,Brown-Headed Cowbird,Frugivore,F,1
5/28/21,8,BURN,CM,Marcelletti,Cantarero,Brown-Headed Cowbird,Frugivore,M,1
5/28/21,7,BURN,WR,Wilkin,Ribas,Carolina Chickadee,Frugivore,U,2
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Downy Woodpecker,Frugivore,U,1
5/22/21,4,BURN,BS,Bowden,Szlabowicz,Downy Woodpecker,Frugivore,U,1
5/19/21,3,CONTROL,CM,Cantarero,Marcelletti,Downy Woodpecker ,Frugivore,U,2
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Downy Woodpecker ,Frugivore,U,1
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Eastern Bluebird,Frugivore,U,5
5/18/21,2,BURN,CM,Cantarero,Marcelletti,Eastern Bluebird,Frugivore,U,2
5/19/21,1,CONTROL,PT,Tolar,Pinkley,Eastern Bluebird,Frugivore,U,2
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Eastern Bluebird,Frugivore,M,1
5/22/21,4,BURN,BS,Bowden,Szlabowicz,Eastern Bluebird,Frugivore,U,1
5/22/21,6,BURN,WR,Wilkin,Ribas,Eastern Bluebird,Frugivore,M ,2
5/23/21,5,BURN,CM,Cantarero,Marcelletti,Eastern Bluebird,Frugivore,F,2
5/23/21,5,BURN,CM,Cantarero,Marcelletti,Eastern Bluebird,Frugivore,M,1
5/24/21,5,BURN,BS,Bowden,NONE,Eastern Bluebird,Frugivore,U,4
5/24/21,6,BURN,BW,Balmaceda,NONE,Eastern Bluebird,Frugivore,M,1
5/25/21,7,CONTROL,BS,Bowden,Szlabowicz,Eastern Bluebird,Frugivore,U,1
5/25/21,8,BURN,PT,Tolar,Pinkley,Eastern Bluebird,Frugivore,F ,2
5/25/21,8,BURN,PT,Tolar,Pinkley,Eastern Bluebird,Frugivore,M ,3
5/26/21,8,BURN,BS,Szlabowicz,Bowden,Eastern Bluebird,Frugivore,U,1
5/28/21,9,BURN,PT,Tolar,Pinkley,Eastern Bluebird,Frugivore,U ,1
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Eastern Kingbird,Frugivore,U,2
5/18/21,3,BURN,PT,Tolar,Pinkley,Eastern Kingbird,Frugivore,U,1
5/18/21,3,CONTROL,ML,Mason,Lashley,Eastern Kingbird,Frugivore,U,10
5/19/21,2,BURN,WR,Wilkin,Ribas,Eastern Kingbird,Frugivore,U,2
5/19/21,3,BURN,ML,Mason,Lashley,Eastern Kingbird,Frugivore,U,1
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Eastern Kingbird,Frugivore,U,1
5/21/21,2,CONTROL,WR,Wilkin,Ribas,Eastern Kingbird,Frugivore,U ,3
5/21/21,3,CONTROL,ML,Mason,Lashley,Eastern Kingbird,Frugivore,U,2
5/22/21,6,BURN,WR,Wilkin,Ribas,Eastern Kingbird,Frugivore,U ,3
5/23/21,4,CONTROL,WR,Wilkin,Ribas,Eastern Kingbird,Frugivore,U ,2
5/23/21,5,BURN,CM,Cantarero,Marcelletti,Eastern Kingbird,Frugivore,U,1
5/23/21,6,BURN,ML,Mason,Lashley,Eastern Kingbird,Frugivore,U,3
5/23/21,6,CONTROL,BW,Balmaceda,Walford,Eastern Kingbird,Frugivore,U,3
5/24/21,5,BURN,BS,Bowden,NONE,Eastern Kingbird,Frugivore,U,1
5/25/21,7,BURN,CM,Cantarero,Marcelletti,Eastern Kingbird,Frugivore,U,2
5/26/21,7,BURN,ML,Mason,Lashley,Eastern Kingbird,Frugivore,U,1
5/26/21,9,BURN,BW,NONE,Walford,Eastern Kingbird,Frugivore,U,2
5/23/21,6,CONTROL,BW,Balmaceda,Walford,Eastern Phoebe,Frugivore,U,1
5/25/21,7,CONTROL,BS,Bowden,Szlabowicz,Eastern Phoebe,Frugivore,U,1
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Eastern Towhee,Frugivore,U,5
5/18/21,1,CONTROL,WR,Wilkin,Ribas,Eastern Towhee,Frugivore,U,8
5/18/21,2,BURN,CM,Cantarero,Marcelletti,Eastern Towhee,Frugivore,M,1
5/18/21,3,CONTROL,ML,Mason,Lashley,Eastern Towhee,Frugivore,M,1
5/19/21,1,BURN,BW,Balmaceda,Walford,Eastern Towhee,Frugivore,M,4
5/19/21,1,CONTROL,PT,Tolar,Pinkley,Eastern Towhee,Frugivore,M,9
5/19/21,2,BURN,WR,Wilkin,Ribas,Eastern Towhee,Frugivore,U,5
5/19/21,2,CONTROL,BS,Bowden,Szlabowicz,Eastern Towhee,Frugivore,F ,1
5/19/21,2,CONTROL,BS,Bowden,Szlabowicz,Eastern Towhee,Frugivore,M ,1
5/19/21,3,BURN,ML,Mason,Lashley,Eastern Towhee,Frugivore,F,5
5/19/21,3,BURN,ML,Mason,Lashley,Eastern Towhee,Frugivore,M,8
5/19/21,3,CONTROL,CM,Cantarero,Marcelletti,Eastern Towhee,Frugivore,U,1
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Eastern Towhee,Frugivore,F,1
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Eastern Towhee,Frugivore,M ,1
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Eastern Towhee,Frugivore,U,4
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Eastern Towhee,Frugivore,M,12
5/21/21,2,BURN,PT,Pinkley,Tolar,Eastern Towhee,Frugivore,U,4
5/21/21,2,CONTROL,WR,Wilkin,Ribas,Eastern Towhee,Frugivore,U ,6
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Eastern Towhee,Frugivore,F,1
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Eastern Towhee,Frugivore,M,3
5/21/21,3,CONTROL,ML,Mason,Lashley,Eastern Towhee,Frugivore,F,2
5/21/21,3,CONTROL,ML,Mason,Lashley,Eastern Towhee,Frugivore,M,3
5/22/21,4,BURN,BS,Bowden,Szlabowicz,Eastern Towhee,Frugivore,F,1
5/22/21,4,BURN,BS,Bowden,Szlabowicz,Eastern Towhee,Frugivore,M,1
5/22/21,4,CONTROL,CM,Cantarero,Marcelletti,Eastern Towhee,Frugivore,F,1
5/22/21,4,CONTROL,CM,Cantarero,Marcelletti,Eastern Towhee,Frugivore,F,1
5/22/21,4,CONTROL,CM,Cantarero,Marcelletti,Eastern Towhee,Frugivore,U ,4
5/22/21,5,BURN,BW,Balmaceda,Walford,Eastern Towhee,Frugivore,M,2
5/22/21,6,BURN,WR,Wilkin,Ribas,Eastern Towhee,Frugivore,M ,5
5/22/21,6,CONTROL,ML,Mason,NONE,Eastern Towhee,Frugivore,F,2
5/22/21,6,CONTROL,ML,Mason,NONE,Eastern Towhee,Frugivore,M,5
5/23/21,4,BURN,PT,Pinkley,Tolar,Eastern Towhee,Frugivore,M,5
5/23/21,4,CONTROL,WR,Wilkin,Ribas,Eastern Towhee,Frugivore,M ,2
5/23/21,4,CONTROL,WR,Wilkin,Ribas,Eastern Towhee,Frugivore,U ,3
5/23/21,5,BURN,CM,Cantarero,Marcelletti,Eastern Towhee,Frugivore,F,1
5/23/21,5,BURN,CM,Cantarero,Marcelletti,Eastern Towhee,Frugivore,M,2
5/23/21,5,CONTROL,BS,Bowden,Szlabowicz,Eastern Towhee,Frugivore,F,1
5/23/21,5,CONTROL,BS,Bowden,Szlabowicz,Eastern Towhee,Frugivore,M,4
5/23/21,6,BURN,ML,Mason,Lashley,Eastern Towhee,Frugivore,F,2
5/23/21,6,BURN,ML,Mason,Lashley,Eastern Towhee,Frugivore,F,2
5/23/21,6,BURN,ML,Mason,Lashley,Eastern Towhee,Frugivore,M,1
5/23/21,6,CONTROL,BW,Balmaceda,Walford,Eastern Towhee,Frugivore,M,2
5/24/21,4,BURN,WR,Wilkin,Ribas,Eastern Towhee,Frugivore,M ,1
5/24/21,4,CONTROL,PT,Pinkley,NONE,Eastern Towhee,Frugivore,M,6
5/24/21,5,BURN,BS,Bowden,NONE,Eastern Towhee,Frugivore,M,1
5/24/21,5,CONTROL,CM,Cantarero,Marcelletti,Eastern Towhee,Frugivore,U,3
5/24/21,6,BURN,BW,Balmaceda,NONE,Eastern Towhee,Frugivore,F,1
5/24/21,6,BURN,BW,Balmaceda,NONE,Eastern Towhee,Frugivore,M,4
5/24/21,6,CONTROL,ML,Mason,Lashley,Eastern Towhee,Frugivore,F,3
5/24/21,6,CONTROL,ML,Mason,Lashley,Eastern Towhee,Frugivore,M,5
5/25/21,7,BURN,CM,Cantarero,Marcelletti,Eastern Towhee,Frugivore,U,3
5/25/21,7,CONTROL,BS,Bowden,Szlabowicz,Eastern Towhee,Frugivore,M,2
5/25/21,8,BURN,PT,Tolar,Pinkley,Eastern Towhee,Frugivore,F ,1
5/25/21,8,CONTROL,BW,Balmaceda,Walford,Eastern Towhee,Frugivore,F,2
5/25/21,8,CONTROL,BW,Balmaceda,Walford,Eastern Towhee,Frugivore,M,9
5/25/21,9,CONTROL,ML,Mason,Lashley,Eastern Towhee,Frugivore,F,2
5/25/21,9,CONTROL,ML,Mason,Lashley,Eastern Towhee,Frugivore,M,5
5/25/21,9,CONTROL,ML,Mason,Lashley,Eastern Towhee,Frugivore,U,5
5/26/21,7,BURN,ML,Mason,Lashley,Eastern Towhee,Frugivore,M,3
5/26/21,7,CONTROL,PT,Tolar,Pinkley,Eastern Towhee,Frugivore,M,2
5/26/21,8,BURN,BS,Szlabowicz,Bowden,Eastern Towhee,Frugivore,F,2
5/26/21,8,CONTROL,WR,Wilkin,Ribas,Eastern Towhee,Frugivore,M,1
5/26/21,9,BURN,BW,NONE,Walford,Eastern Towhee,Frugivore,M,3
5/26/21,9,CONTROL,CM,Marcelletti,Cantarero,Eastern Towhee,Frugivore,M,3
5/28/21,8,BURN,CM,Marcelletti,Cantarero,Eastern Towhee,Frugivore,F,1
5/28/21,8,BURN,CM,Marcelletti,Cantarero,Eastern Towhee,Frugivore,M,1
5/28/21,8,CONTROL,BS,Bowden,Szlabowicz,Eastern Towhee,Frugivore,F,5
5/28/21,8,CONTROL,BS,Bowden,Szlabowicz,Eastern Towhee,Frugivore,M,3
5/28/21,9,BURN,PT,Tolar,Pinkley,Eastern Towhee,Frugivore,U ,2
5/28/21,9,CONTROL,ML,Lashley,NONE,Eastern Towhee,Frugivore,F,2
5/28/21,9,CONTROL,ML,Lashley,NONE,Eastern Towhee,Frugivore,M,2
5/19/21,1,BURN,BW,Balmaceda,Walford,Grey Catbird,Frugivore,U,1
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Grey Catbird,Frugivore,U,1
5/18/21,3,CONTROL,ML,Mason,Lashley,Hairy Woodpecker,Frugivore,U,1
5/19/21,3,BURN,ML,Mason,Lashley,Hairy Woodpecker,Frugivore,U,1
5/28/21,9,CONTROL,ML,Lashley,NONE,Hairy Woodpecker,Frugivore,U,1
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Indigo Bunting,Frugivore,U,1
5/18/21,1,CONTROL,WR,Wilkin,Ribas,Indigo Bunting,Frugivore,U,1
5/18/21,3,BURN,PT,Tolar,Pinkley,Indigo Bunting,Frugivore,M,2
5/18/21,3,CONTROL,ML,Mason,Lashley,Indigo Bunting,Frugivore,M,13
5/19/21,2,BURN,WR,Wilkin,Ribas,Indigo Bunting,Frugivore,U,3
5/19/21,3,BURN,ML,Mason,Lashley,Indigo Bunting,Frugivore,M,2
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Indigo Bunting,Frugivore,U,1
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Indigo Bunting,Frugivore,U,1
5/21/21,3,CONTROL,ML,Mason,Lashley,Indigo Bunting,Frugivore,U,1
5/23/21,5,BURN,CM,Cantarero,Marcelletti,Indigo Bunting,Frugivore,U,1
5/24/21,5,BURN,BS,Bowden,NONE,Indigo Bunting,Frugivore,U,4
5/24/21,6,CONTROL,ML,Mason,Lashley,Indigo Bunting,Frugivore,U,2
5/25/21,7,BURN,CM,Cantarero,Marcelletti,Indigo Bunting,Frugivore,U,1
5/25/21,9,CONTROL,ML,Mason,Lashley,Indigo Bunting,Frugivore,M,1
5/26/21,8,BURN,BS,Szlabowicz,Bowden,Indigo Bunting,Frugivore,U,2
5/28/21,8,BURN,CM,Marcelletti,Cantarero,Indigo Bunting,Frugivore,M,1
5/28/21,9,CONTROL,ML,Lashley,NONE,Indigo Bunting,Frugivore,M,5
5/23/21,4,CONTROL,WR,Wilkin,Ribas,Indigo Bunting ,Frugivore,U ,1
5/18/21,3,BURN,PT,Tolar,Pinkley,Northern Bobwhite,Frugivore,U,3
5/19/21,1,BURN,BW,Balmaceda,Walford,Northern Bobwhite,Frugivore,U,1
5/19/21,3,BURN,ML,Mason,Lashley,Northern Bobwhite,Frugivore,U,2
5/21/21,2,BURN,PT,Pinkley,Tolar,Northern Bobwhite,Frugivore,U ,2
5/22/21,4,BURN,BS,Bowden,Szlabowicz,Northern Bobwhite,Frugivore,U,2
5/24/21,6,CONTROL,ML,Mason,Lashley,Northern Bobwhite,Frugivore,M,1
5/25/21,7,CONTROL,BS,Bowden,Szlabowicz,Northern Bobwhite,Frugivore,U,1
5/26/21,8,BURN,BS,Szlabowicz,Bowden,Northern Bobwhite,Frugivore,U,3
5/26/21,8,CONTROL,WR,Wilkin,Ribas,Northern Bobwhite,Frugivore,U,2
5/18/21,1,CONTROL,WR,Wilkin,Ribas,Northern Bobwhite ,Frugivore,U,1
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Northern Cardinal,Frugivore,F,3
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Northern Cardinal,Frugivore,M,5
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Northern Cardinal,Frugivore,U,6
5/18/21,1,CONTROL,WR,Wilkin,Ribas,Northern Cardinal,Frugivore,F,8
5/18/21,1,CONTROL,WR,Wilkin,Ribas,Northern Cardinal,Frugivore,M,16
5/18/21,2,BURN,CM,Cantarero,Marcelletti,Northern Cardinal,Frugivore,M,5
5/18/21,3,BURN,PT,Tolar,Pinkley,Northern Cardinal,Frugivore,F,3
5/18/21,3,BURN,PT,Tolar,Pinkley,Northern Cardinal,Frugivore,M,5
5/18/21,3,CONTROL,ML,Mason,Lashley,Northern Cardinal,Frugivore,F,4
5/18/21,3,CONTROL,ML,Mason,Lashley,Northern Cardinal,Frugivore,M,8
5/19/21,1,BURN,BW,Balmaceda,Walford,Northern Cardinal,Frugivore,F,2
5/19/21,1,BURN,BW,Balmaceda,Walford,Northern Cardinal,Frugivore,M,3
5/19/21,1,CONTROL,PT,Tolar,Pinkley,Northern Cardinal,Frugivore,F,5
5/19/21,1,CONTROL,PT,Tolar,Pinkley,Northern Cardinal,Frugivore,M,5
5/19/21,2,BURN,WR,Wilkin,Ribas,Northern Cardinal,Frugivore,F,2
5/19/21,2,BURN,WR,Wilkin,Ribas,Northern Cardinal,Frugivore,M ,4
5/19/21,2,CONTROL,BS,Bowden,Szlabowicz,Northern Cardinal,Frugivore,F,1
5/19/21,2,CONTROL,BS,Bowden,Szlabowicz,Northern Cardinal,Frugivore,M,3
5/19/21,3,BURN,ML,Mason,Lashley,Northern Cardinal,Frugivore,M,4
5/19/21,3,CONTROL,CM,Cantarero,Marcelletti,Northern Cardinal,Frugivore,U,9
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Northern Cardinal,Frugivore,F,7
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Northern Cardinal,Frugivore,M ,17
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Northern Cardinal,Frugivore,F,3
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Northern Cardinal,Frugivore,M,13
5/21/21,2,CONTROL,WR,Wilkin,Ribas,Northern Cardinal,Frugivore,M ,2
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Northern Cardinal,Frugivore,F,9
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Northern Cardinal,Frugivore,M,14
5/21/21,3,CONTROL,ML,Mason,Lashley,Northern Cardinal,Frugivore,M,6
5/22/21,4,BURN,BS,Bowden,Szlabowicz,Northern Cardinal,Frugivore,F,4
5/22/21,5,BURN,BW,Balmaceda,Walford,Northern Cardinal,Frugivore,M,4
5/22/21,5,CONTROL,PT,Pinkley,Tolar,Northern Cardinal,Frugivore,F,1
5/22/21,5,CONTROL,PT,Pinkley,Tolar,Northern Cardinal,Frugivore,M,7
5/22/21,6,BURN,WR,Wilkin,Ribas,Northern Cardinal,Frugivore,M ,1
5/22/21,6,CONTROL,ML,Mason,NONE,Northern Cardinal,Frugivore,F,2
5/22/21,6,CONTROL,ML,Mason,NONE,Northern Cardinal,Frugivore,M,5
5/23/21,4,BURN,PT,Pinkley,Tolar,Northern Cardinal,Frugivore,U ,1
5/23/21,4,CONTROL,WR,Wilkin,Ribas,Northern Cardinal,Frugivore,M,4
5/23/21,5,BURN,CM,Cantarero,Marcelletti,Northern Cardinal,Frugivore,F,1
5/23/21,5,BURN,CM,Cantarero,Marcelletti,Northern Cardinal,Frugivore,M ,2
5/23/21,5,CONTROL,BS,Bowden,Szlabowicz,Northern Cardinal,Frugivore,F,2
5/23/21,5,CONTROL,BS,Bowden,Szlabowicz,Northern Cardinal,Frugivore,M,2
5/23/21,6,CONTROL,BW,Balmaceda,Walford,Northern Cardinal,Frugivore,F,2
5/23/21,6,CONTROL,BW,Balmaceda,Walford,Northern Cardinal,Frugivore,M,5
5/24/21,4,BURN,WR,Wilkin,Ribas,Northern Cardinal,Frugivore,M ,4
