Trap,UTM Easting,UTM Northing,UTM Zone
16B-2*,765394.32,3396821.13,16R
16B-4*,765392.28,3396670.41,16R
16B-6*,765331.84,3396683.23,16R
16C-1*,765177.42,3396621.62,16R
16C-4*,765295.76,3396473.87,16R
16C-9*,765282.43,3396582.72,16R
17B-A,766615.2,3394454.81,16R
17B-B,766712.66,3394439.25,16R
17B-C,766783.99,3394467.87,16R
17C-A,766567.34,3394237.82,16R
17C-B,766671.56,3394332.83,16R
17C-C,766753.7,3394242.44,16R
1B-A,765678.64,3394616.48,16R
1B-C,765900.02,3394283,16R
1BB,765789.72,3394433.94,16R
1C-A,765849.86,3394158.5,16R
1C-B,765584.3,3394121.1,16R
1C-C,765580.5,3394275.11,16R
4B-1*,766294.3,3395514.09,16R
4B-2*,766199.29,3395551.24,16R
4B-6*,766610.23,3395537.67,16R
4C-1*,766166.47,3395478.53,16R
4C-2*,766272.91,3395370.99,16R
4C-8*,766481.59,3395321.79,16R
6B-A,763965.95,3395876.75,16R
6B-B,763972.33,3395745.65,16R
6B-C,763954,3395406.15,16R
6C-1*,763898.99,3395435.64,16R
6C-A,763712.87,3395492.76,16R
6C-C,763846.33,3395341.93,16R
7B-4*,764767.79,3395290.35,16R
7B-8*,764942.84,3395138.44,16R
7B-8*,764908.34,3395296.91,16R
7C-2*,765015.99,3394999.34,16R
7C-4*,764971.26,3394899.71,16R
7C-8*,765096.31,3395029.16,16R
8B-A,767260.32,3395302.94,16R
8B-B,767181.14,3395270.13,16R
8B-C,767210.85,3395147.6,16R
8C-A,767578.28,3395372.43,16R
8C-B,767659.66,3395312.87,16R
8C-C,767765.99,3395322.29,16R
16C-New-A,765393.38,3396458.75,16R
16C-New-B,765391.11,3396550.78,16R
16C-New-C,765522.04,3396647.21,16R