DATE,SITE,TREATMENT,TRAP,SPECIES,SEEDS
4/6/20,8,C,A,SIAL,10
4/6/20,8,C,A,HEAN,10
4/6/20,8,C,A,CAAN,10
4/6/20,8,C,B,SIAL,10
4/6/20,8,C,B,HEAN,10
4/6/20,8,C,B,CAAN,10
4/6/20,8,C,C,SIAL,10
4/6/20,8,C,C,HEAN,10
4/6/20,8,C,C,CAAN,10
4/15/20,8,C,A,SIAL,6
4/15/20,8,C,A,HEAN,9
4/15/20,8,C,A,CAAN,8
4/15/20,8,C,B,SIAL,7
4/15/20,8,C,B,HEAN,6
4/15/20,8,C,B,CAAN,5
4/15/20,8,C,C,SIAL,7
4/15/20,8,C,C,HEAN,6
4/15/20,8,C,C,CAAN,4
4/6/20,8,B,A,SIAL,10
4/6/20,8,B,A,HEAN,10
4/6/20,8,B,A,CAAN,10
4/6/20,8,B,B,SIAL,10
4/6/20,8,B,B,HEAN,10
4/6/20,8,B,B,CAAN,10
4/6/20,8,B,C,SIAL,10
4/6/20,8,B,C,HEAN,10
4/6/20,8,B,C,CAAN,10
4/15/20,8,B,A,SIAL,0
4/15/20,8,B,A,HEAN,0
4/15/20,8,B,A,CAAN,0
4/15/20,8,B,B,SIAL,2
4/15/20,8,B,B,HEAN,0
4/15/20,8,B,B,CAAN,0
4/15/20,8,B,C,SIAL,5
4/15/20,8,B,C,HEAN,7
4/15/20,8,B,C,CAAN,5
4/6/20,4,C,A,SIAL,10
4/6/20,4,C,A,HEAN,10
4/6/20,4,C,A,CAAN,10
4/6/20,4,C,B,SIAL,10
4/6/20,4,C,B,HEAN,10
4/6/20,4,C,B,CAAN,10
4/6/20,4,C,C,SIAL,10
4/6/20,4,C,C,HEAN,10
4/6/20,4,C,C,CAAN,10
4/15/20,4,C,A,SIAL,6
4/15/20,4,C,A,HEAN,8
4/15/20,4,C,A,CAAN,7
4/15/20,4,C,B,SIAL,5
4/15/20,4,C,B,HEAN,9
4/15/20,4,C,B,CAAN,9
4/15/20,4,C,C,SIAL,7
4/15/20,4,C,C,HEAN,9
4/15/20,4,C,C,CAAN,3
4/6/20,4,B,A,SIAL,10
4/6/20,4,B,A,HEAN,10
4/6/20,4,B,A,CAAN,10
4/6/20,4,B,B,SIAL,10
4/6/20,4,B,B,HEAN,10
4/6/20,4,B,B,CAAN,10
4/6/20,4,B,C,SIAL,10
4/6/20,4,B,C,HEAN,10
4/6/20,4,B,C,CAAN,10
4/15/20,4,B,A,SIAL,4
4/15/20,4,B,A,HEAN,4
4/15/20,4,B,A,CAAN,4
4/15/20,4,B,B,SIAL,0
4/15/20,4,B,B,HEAN,0
4/15/20,4,B,B,CAAN,0
4/15/20,4,B,C,SIAL,1
4/15/20,4,B,C,HEAN,0
4/15/20,4,B,C,CAAN,0
4/7/20,6,C,A,SIAL,10
4/7/20,6,C,A,HEAN,10
4/7/20,6,C,A,CAAN,10
4/7/20,6,C,B,SIAL,10
4/7/20,6,C,B,HEAN,10
4/7/20,6,C,B,CAAN,10
4/7/20,6,C,C,SIAL,10
4/7/20,6,C,C,HEAN,10
4/7/20,6,C,C,CAAN,10
4/15/20,6,C,A,SIAL,9
4/15/20,6,C,A,HEAN,10
4/15/20,6,C,A,CAAN,10
4/15/20,6,C,B,SIAL,3
4/15/20,6,C,B,HEAN,6
4/15/20,6,C,B,CAAN,4
4/15/20,6,C,C,SIAL,8
4/15/20,6,C,C,HEAN,9
4/15/20,6,C,C,CAAN,9
4/7/20,6,B,A,SIAL,10
4/7/20,6,B,A,HEAN,10
4/7/20,6,B,A,CAAN,10
4/7/20,6,B,B,SIAL,10
4/7/20,6,B,B,HEAN,10
4/7/20,6,B,B,CAAN,10
4/7/20,6,B,C,SIAL,10
4/7/20,6,B,C,HEAN,10
4/7/20,6,B,C,CAAN,10
4/15/20,6,B,A,SIAL,9
4/15/20,6,B,A,HEAN,6
4/15/20,6,B,A,CAAN,8
4/15/20,6,B,B,SIAL,9
4/15/20,6,B,B,HEAN,10
4/15/20,6,B,B,CAAN,9
4/15/20,6,B,C,SIAL,2
4/15/20,6,B,C,HEAN,10
4/15/20,6,B,C,CAAN,8
4/7/20,7,C,A,SIAL,10
4/7/20,7,C,A,HEAN,10
4/7/20,7,C,A,CAAN,10
4/7/20,7,C,C,SIAL,10
4/7/20,7,C,C,HEAN,10
4/7/20,7,C,C,CAAN,10
4/15/20,7,C,A,SIAL,1
4/15/20,7,C,A,HEAN,0
4/15/20,7,C,A,CAAN,0
4/15/20,7,C,B,SIAL,10
4/15/20,7,C,B,HEAN,10
4/15/20,7,C,B,CAAN,10
4/15/20,7,C,C,SIAL,10
4/15/20,7,C,C,HEAN,10
4/15/20,7,C,C,CAAN,7
4/15/20,7,B,A,SIAL,10
4/15/20,7,B,A,HEAN,10
4/15/20,7,B,A,CAAN,10
4/15/20,7,B,B,SIAL,10
4/15/20,7,B,B,HEAN,10
4/15/20,7,B,B,CAAN,10
4/15/20,7,B,C,SIAL,10
4/15/20,7,B,C,HEAN,10
4/15/20,7,B,C,CAAN,10
4/7/20,1,C,A,SIAL,10
4/7/20,1,C,A,HEAN,10
4/7/20,1,C,A,CAAN,10
4/7/20,1,C,B,SIAL,10
4/7/20,1,C,B,HEAN,10
4/7/20,1,C,B,CAAN,10
4/7/20,1,C,C,SIAL,10
4/7/20,1,C,C,HEAN,10
4/7/20,1,C,C,CAAN,10
4/7/20,1,B,A,SIAL,10
4/7/20,1,B,A,HEAN,10
4/7/20,1,B,A,CAAN,10
4/15/20,1,B,B,SIAL,10
4/15/20,1,B,B,HEAN,10
4/15/20,1,B,B,CAAN,10
4/15/20,1,B,C,SIAL,10
4/15/20,1,B,C,HEAN,10
4/15/20,1,B,C,CAAN,10
4/15/20,1,B,A,SIAL,0
4/15/20,1,B,A,HEAN,0
4/15/20,1,B,A,CAAN,0
4/30/20,1,C,A,SIAL,10
4/30/20,1,C,A,HEAN,10
4/30/20,1,C,A,CAAN,10
4/30/20,1,C,B,SIAL,10
4/30/20,1,C,B,HEAN,10
4/30/20,1,C,B,CAAN,10
4/30/20,1,C,C,SIAL,10
4/30/20,1,C,C,HEAN,10
4/30/20,1,C,C,CAAN,10
4/30/20,1,B,C,SIAL,4
4/30/20,1,B,C,HEAN,1
4/30/20,1,B,C,CAAN,0
4/30/20,1,B,B,SIAL,0
4/30/20,1,B,B,HEAN,0
4/30/20,1,B,B,CAAN,0
5/4/20,8,B,C,SIAL,4
5/4/20,8,B,C,HEAN,7
5/4/20,8,B,C,CAAN,4
5/4/20,8,C,C,SIAL,2
5/4/20,8,C,C,HEAN,0
5/4/20,8,C,C,CAAN,0
5/4/20,8,B,B,SIAL,2
5/4/20,8,B,B,HEAN,0
5/4/20,8,B,B,CAAN,0
5/4/20,8,C,B,SIAL,7
5/4/20,8,C,B,HEAN,6
5/4/20,8,C,B,CAAN,4
5/4/20,8,B,A,SIAL,0
5/4/20,8,B,A,HEAN,0
5/4/20,8,B,A,CAAN,0
5/4/20,8,C,A,SIAL,5
5/4/20,8,C,A,HEAN,1
5/4/20,8,C,A,CAAN,0
5/4/20,6,B,C,SIAL,2
5/4/20,6,B,C,HEAN,0
5/4/20,6,B,C,CAAN,1
5/4/20,6,C,A,SIAL,4
5/4/20,6,C,A,HEAN,10
5/4/20,6,C,A,CAAN,9
5/4/20,6,C,B,SIAL,0
5/4/20,6,C,B,HEAN,0
5/4/20,6,C,B,CAAN,0
5/4/20,6,B,A,SIAL,5
5/4/20,6,B,A,HEAN,5
5/4/20,6,B,A,CAAN,6
5/4/20,4,B,A,SIAL,5
5/4/20,4,B,A,HEAN,3
5/4/20,4,B,A,CAAN,4
5/4/20,4,C,B,SIAL,3
5/4/20,4,C,B,HEAN,8
5/4/20,4,C,B,CAAN,6
5/4/20,4,B,C,SIAL,0
5/4/20,4,B,C,HEAN,0
5/4/20,4,B,C,CAAN,0
5/4/20,6,C,C,SIAL,7
5/4/20,6,C,C,HEAN,4
5/4/20,6,C,C,CAAN,3
5/4/20,4,C,C,SIAL,3
5/4/20,4,C,C,HEAN,10
5/4/20,4,C,C,CAAN,3
5/4/20,7,B,B,SIAL,6
5/4/20,7,B,B,HEAN,9
5/4/20,7,B,B,CAAN,8
5/4/20,4,B,B,SIAL,0
5/4/20,4,B,B,HEAN,0
5/4/20,4,B,B,CAAN,0
5/4/20,4,C,A,SIAL,7
5/4/20,4,C,A,HEAN,8
5/4/20,4,C,A,CAAN,6
5/4/20,7,C,A,SIAL,8
5/4/20,7,C,A,HEAN,6
5/4/20,7,C,A,CAAN,2
5/4/20,7,C,B,SIAL,10
5/4/20,7,C,B,HEAN,10
5/4/20,7,C,B,CAAN,10
5/4/20,7,C,C,SIAL,8
5/4/20,7,C,C,HEAN,6
5/4/20,7,C,C,CAAN,2
5/4/20,7,B,A,SIAL,7
5/4/20,7,B,A,HEAN,7
5/4/20,7,B,A,CAAN,5
5/4/20,7,B,C,SIAL,8
5/4/20,7,B,C,HEAN,3
5/4/20,7,B,C,CAAN,2
5/8/20,17,B,A,SIAL,10
5/8/20,17,B,A,HEAN,10
5/8/20,17,B,A,CAAN,10
5/8/20,17,B,B,SIAL,10
5/8/20,17,B,B,HEAN,10
5/8/20,17,B,B,CAAN,10
5/8/20,17,B,C,SIAL,10
5/8/20,17,B,C,HEAN,10
5/8/20,17,B,C,CAAN,10
5/8/20,17,C,A,SIAL,10
5/8/20,17,C,A,HEAN,10
5/8/20,17,C,A,CAAN,10
5/8/20,17,C,B,SIAL,10
5/8/20,17,C,B,HEAN,10
5/8/20,17,C,B,CAAN,10
5/8/20,17,C,C,SIAL,10
5/8/20,17,C,C,HEAN,10
5/8/20,17,C,C,CAAN,10
5/8/20,16,B,A,SIAL,10
5/8/20,16,B,A,HEAN,10
5/8/20,16,B,A,CAAN,10
5/8/20,16,B,B,SIAL,10
5/8/20,16,B,B,HEAN,10
5/8/20,16,B,B,CAAN,10
5/8/20,16,B,C,SIAL,10
5/8/20,16,B,C,HEAN,10
5/8/20,16,B,C,CAAN,10
5/8/20,16,C,A,SIAL,10
5/8/20,16,C,A,HEAN,10
5/8/20,16,C,A,CAAN,10
5/8/20,16,C,B,SIAL,10
5/8/20,16,C,B,HEAN,10
5/8/20,16,C,B,CAAN,10
5/8/20,16,C,C,SIAL,10
5/8/20,16,C,C,HEAN,10
5/8/20,16,C,C,CAAN,10
5/14/20,17,B,A,SIAL,5
5/14/20,17,B,A,HEAN,9
5/14/20,17,B,A,CAAN,5
5/14/20,17,B,B,SIAL,7
5/14/20,17,B,B,HEAN,5
5/14/20,17,B,B,CAAN,3
5/14/20,17,B,C,SIAL,8
5/14/20,17,B,C,HEAN,10
5/14/20,17,B,C,CAAN,8
5/14/20,17,C,A,SIAL,8
5/14/20,17,C,A,HEAN,10
5/14/20,17,C,A,CAAN,8
5/14/20,17,C,B,SIAL,8
5/14/20,17,C,B,HEAN,10
5/14/20,17,C,B,CAAN,10
5/14/20,17,C,C,SIAL,10
5/14/20,17,C,C,HEAN,8
5/14/20,17,C,C,CAAN,10
5/14/20,16,B,A,SIAL,9
5/14/20,16,B,A,HEAN,10
5/14/20,16,B,A,CAAN,9
5/14/20,16,B,B,SIAL,2
5/14/20,16,B,B,HEAN,9
5/14/20,16,B,B,CAAN,7
5/14/20,16,B,C,SIAL,9
5/14/20,16,B,C,HEAN,9
5/14/20,16,B,C,CAAN,8
5/14/20,16,C,A,SIAL,8
5/14/20,16,C,A,HEAN,10
5/14/20,16,C,A,CAAN,10
5/14/20,16,C,B,SIAL,9
5/14/20,16,C,B,HEAN,10
5/14/20,16,C,B,CAAN,10
5/14/20,16,C,C,SIAL,10
5/14/20,16,C,C,HEAN,10
5/12/20,16,C,C,CAAN,9
5/12/20,1,B,A,SIAL,0
5/12/20,1,B,A,HEAN,0
5/12/20,1,B,A,CAAN,0
5/12/20,1,B,B,SIAL,0
5/12/20,1,B,B,HEAN,0
5/12/20,1,B,B,CAAN,0
5/12/20,1,B,C,SIAL,4
5/12/20,1,B,C,HEAN,1
5/12/20,1,B,C,CAAN,0
5/12/20,1,C,A,SIAL,9
5/12/20,1,C,A,HEAN,8
5/12/20,1,C,A,CAAN,9
5/12/20,1,C,B,SIAL,0
5/12/20,1,C,B,HEAN,2
5/12/20,1,C,B,CAAN,9
5/12/20,1,C,C,SIAL,2
5/12/20,1,C,C,HEAN,8
5/12/20,1,C,C,CAAN,7
5/12/20,4,B,A,SIAL,4
5/12/20,4,B,A,HEAN,3
5/12/20,4,B,A,CAAN,4
5/12/20,4,B,B,SIAL,0
5/12/20,4,B,B,HEAN,0
5/12/20,4,B,B,CAAN,0
5/12/20,4,B,C,SIAL,0
5/12/20,4,B,C,HEAN,0
5/12/20,4,B,C,CAAN,0
5/12/20,4,C,A,SIAL,10
5/12/20,4,C,A,HEAN,10
5/12/20,4,C,A,CAAN,9
5/12/20,4,C,B,SIAL,3
5/12/20,4,C,B,HEAN,8
5/12/20,4,C,B,CAAN,8
5/12/20,4,C,C,SIAL,7
5/12/20,4,C,C,HEAN,8
5/12/20,4,C,C,CAAN,3
5/12/20,6,B,A,SIAL,7
5/12/20,6,B,A,HEAN,6
5/12/20,6,B,A,CAAN,8
5/12/20,6,B,B,SIAL,8
5/12/20,6,B,B,HEAN,9
5/12/20,6,B,B,CAAN,10
5/12/20,6,B,C,SIAL,2
5/12/20,6,B,C,HEAN,0
5/12/20,6,B,C,CAAN,1
5/12/20,6,C,A,SIAL,5
5/12/20,6,C,A,HEAN,9
5/12/20,6,C,A,CAAN,9
5/12/20,6,C,B,SIAL,1
5/12/20,6,C,B,HEAN,1
5/12/20,6,C,B,CAAN,0
5/12/20,6,C,C,SIAL,4
5/12/20,6,C,C,HEAN,4
5/12/20,6,C,C,CAAN,5
5/12/20,7,B,A,SIAL,10
5/12/20,7,B,A,HEAN,10
5/12/20,7,B,A,CAAN,5
5/12/20,7,B,B,SIAL,9
5/12/20,7,B,B,HEAN,9
5/12/20,7,B,B,CAAN,9
5/12/20,7,B,C,SIAL,8
5/12/20,7,B,C,HEAN,3
5/12/20,7,B,C,CAAN,1
5/12/20,7,C,A,SIAL,0
5/12/20,7,C,A,HEAN,0
5/12/20,7,C,A,CAAN,0
5/12/20,7,C,B,SIAL,0
5/12/20,7,C,B,HEAN,0
5/12/20,7,C,B,CAAN,1
5/12/20,7,C,C,SIAL,8
5/12/20,7,C,C,HEAN,7
5/12/20,7,C,C,CAAN,3
5/12/20,8,B,A,SIAL,2
5/12/20,8,B,A,HEAN,0
5/12/20,8,B,A,CAAN,0
5/12/20,8,B,B,SIAL,2
5/12/20,8,B,B,HEAN,0
5/12/20,8,B,B,CAAN,0
5/12/20,8,B,C,SIAL,5
5/12/20,8,B,C,HEAN,6
5/12/20,8,B,C,CAAN,4
5/12/20,8,C,A,SIAL,4
5/12/20,8,C,A,HEAN,0
5/12/20,8,C,A,CAAN,1
5/12/20,8,C,B,SIAL,8
5/12/20,8,C,B,HEAN,5
5/12/20,8,C,B,CAAN,6
5/12/20,8,C,C,SIAL,1
5/12/20,8,C,C,HEAN,0
5/12/20,8,C,C,CAAN,0
5/23/20,17,B,A,SIAL,3
5/23/20,17,B,A,HEAN,2
5/23/20,17,B,A,CAAN,3
5/23/20,17,B,B,SIAL,0
5/23/20,17,B,B,HEAN,1
5/23/20,17,B,B,CAAN,0
5/23/20,17,B,C,SIAL,5
5/23/20,17,B,C,HEAN,1
5/23/20,17,B,C,CAAN,4
5/23/20,17,C,A,SIAL,9
5/23/20,17,C,A,HEAN,10
5/23/20,17,C,A,CAAN,6
5/23/20,17,C,B,SIAL,10
5/23/20,17,C,B,HEAN,10
5/23/20,17,C,B,CAAN,8
5/23/20,17,C,C,SIAL,10
5/23/20,17,C,C,HEAN,9
5/23/20,17,C,C,CAAN,10
5/23/20,16,B,A,SIAL,9
5/23/20,16,B,A,HEAN,9
5/23/20,16,B,A,CAAN,8
5/23/20,16,B,B,SIAL,1
5/23/20,16,B,B,HEAN,9
5/23/20,16,B,B,CAAN,4
5/23/20,16,B,C,SIAL,7
5/23/20,16,B,C,HEAN,8
5/23/20,16,B,C,CAAN,6
5/23/20,16,C,A,SIAL,9
5/23/20,16,C,A,HEAN,10
5/23/20,16,C,A,CAAN,10
5/23/20,16,C,B,SIAL,10
5/23/20,16,C,B,HEAN,10
5/23/20,16,C,B,CAAN,8
5/23/20,16,C,C,SIAL,10
5/23/20,16,C,C,HEAN,10
5/23/20,16,C,C,CAAN,9
5/23/20,1,B,A,SIAL,0
5/23/20,1,B,A,HEAN,0
5/23/20,1,B,A,CAAN,0
5/23/20,1,B,B,SIAL,0
5/23/20,1,B,B,HEAN,0
5/23/20,1,B,B,CAAN,0
5/23/20,1,B,C,SIAL,0
5/23/20,1,B,C,HEAN,1
5/23/20,1,B,C,CAAN,0
5/23/20,1,C,A,SIAL,1
5/23/20,1,C,A,HEAN,0
5/23/20,1,C,A,CAAN,1
5/23/20,1,C,B,SIAL,9
5/23/20,1,C,B,HEAN,8
5/23/20,1,C,B,CAAN,10
5/23/20,1,C,C,SIAL,2
5/23/20,1,C,C,HEAN,8
5/23/20,1,C,C,CAAN,6
5/23/20,6,B,A,SIAL,7
5/23/20,6,B,A,HEAN,6
5/23/20,6,B,A,CAAN,9
5/23/20,6,B,B,SIAL,4
5/23/20,6,B,B,HEAN,7
5/23/20,6,B,B,CAAN,9
5/23/20,6,B,C,SIAL,1
5/23/20,6,B,C,HEAN,0
5/23/20,6,B,C,CAAN,1
5/23/20,6,C,A,SIAL,1
5/23/20,6,C,A,HEAN,10
5/23/20,6,C,A,CAAN,9
5/23/20,6,C,B,SIAL,0
5/23/20,6,C,B,HEAN,1
5/23/20,6,C,B,CAAN,0
5/23/20,6,C,C,SIAL,5
5/23/20,6,C,C,HEAN,4
5/23/20,6,C,C,CAAN,4
5/23/20,4,B,A,SIAL,4
5/23/20,4,B,A,HEAN,4
5/23/20,4,B,A,CAAN,5
5/23/20,4,B,B,SIAL,0
5/23/20,4,B,B,HEAN,0
5/23/20,4,B,B,CAAN,0
5/23/20,4,B,C,SIAL,0
5/23/20,4,B,C,HEAN,0
5/23/20,4,B,C,CAAN,0
5/23/20,4,C,A,SIAL,7
5/23/20,4,C,A,HEAN,10
5/23/20,4,C,A,CAAN,10
5/23/20,4,C,B,SIAL,3
5/23/20,4,C,B,HEAN,6
5/23/20,4,C,B,CAAN,7
5/23/20,4,C,C,SIAL,6
5/23/20,4,C,C,HEAN,8
5/23/20,4,C,C,CAAN,3
5/23/20,8,B,A,SIAL,0
5/23/20,8,B,A,HEAN,0
5/23/20,8,B,A,CAAN,0
5/23/20,8,B,B,SIAL,0
5/23/20,8,B,B,HEAN,0
5/23/20,8,B,B,CAAN,0
5/23/20,8,B,C,SIAL,4
5/23/20,8,B,C,HEAN,7
5/23/20,8,B,C,CAAN,3
5/23/20,8,C,A,SIAL,2
5/23/20,8,C,A,HEAN,0
5/23/20,8,C,A,CAAN,0
5/23/20,8,C,B,SIAL,5
5/23/20,8,C,B,HEAN,6
5/23/20,8,C,B,CAAN,3
5/23/20,8,C,C,SIAL,0
5/23/20,8,C,C,HEAN,0
5/23/20,8,C,C,CAAN,0
5/23/20,7,B,A,SIAL,5
5/23/20,7,B,A,HEAN,8
5/23/20,7,B,A,CAAN,7
5/23/20,7,B,B,SIAL,7
5/23/20,7,B,B,HEAN,9
5/23/20,7,B,B,CAAN,6
5/23/20,7,B,C,SIAL,9
5/23/20,7,B,C,HEAN,3
